DateTime,AdviceCode,Speed,Length
4/19/2022 18:01,2,19,14
4/19/2022 18:02,2,24,13
4/19/2022 18:02,2,21,14
4/19/2022 18:02,2,24,15
4/19/2022 18:02,2,24,16
4/19/2022 18:04,2,22,18
4/19/2022 18:04,2,20,13
4/19/2022 18:06,2,20,10
4/19/2022 18:07,2,21,9
4/19/2022 18:09,2,23,16
4/19/2022 18:10,2,23,19
4/19/2022 18:13,2,13,15
4/19/2022 18:13,2,25,15
4/19/2022 18:13,2,25,17
4/19/2022 18:21,2,21,9
4/19/2022 18:22,2,54,48
4/19/2022 18:22,2,18,14
4/19/2022 18:24,2,21,19
4/19/2022 18:24,2,21,19
4/19/2022 18:27,2,24,18
4/19/2022 18:29,2,26,16
4/19/2022 18:32,2,22,11
4/19/2022 18:34,2,25,16
4/19/2022 18:35,2,26,15
4/19/2022 18:36,2,20,8
4/19/2022 18:37,2,21,15
4/19/2022 18:37,2,30,10
4/19/2022 18:41,2,16,16
4/19/2022 18:41,2,23,16
4/19/2022 18:42,2,23,15
4/19/2022 18:43,2,23,5
4/19/2022 18:45,2,24,17
4/19/2022 18:48,2,25,16
4/19/2022 18:49,2,27,10
4/19/2022 18:50,2,27,18
4/19/2022 18:51,2,18,12
4/19/2022 18:53,2,22,17
4/19/2022 18:53,2,22,19
4/19/2022 18:55,2,30,16
4/19/2022 18:55,2,22,14
4/19/2022 18:58,128,23,0
4/19/2022 18:58,2,23,14
4/19/2022 18:58,128,203,155
4/19/2022 18:58,2,60,63
4/19/2022 19:01,2,25,19
4/19/2022 19:02,2,29,12
4/19/2022 19:03,2,27,19
4/19/2022 19:04,2,22,15
4/19/2022 19:07,2,24,20
4/19/2022 19:08,2,10,9
4/19/2022 19:08,2,23,16
4/19/2022 19:10,2,21,15
4/19/2022 19:11,2,20,16
4/19/2022 19:13,2,19,18
4/19/2022 19:14,2,23,12
4/19/2022 19:16,2,29,16
4/19/2022 19:18,2,27,13
4/19/2022 19:20,2,22,10
4/19/2022 19:23,2,31,19
4/19/2022 19:26,2,25,13
4/19/2022 19:26,2,23,15
4/19/2022 19:28,2,25,15
4/19/2022 19:29,2,30,17
4/19/2022 19:32,2,25,13
4/19/2022 19:32,2,30,12
4/19/2022 19:38,2,23,17
4/19/2022 19:38,2,22,14
4/19/2022 19:40,2,23,16
4/19/2022 19:40,2,22,15
4/19/2022 19:43,2,25,14
4/19/2022 19:44,2,24,15
4/19/2022 19:44,2,26,16
4/19/2022 19:44,2,23,15
4/19/2022 19:47,2,21,17
4/19/2022 19:47,2,23,17
4/19/2022 19:49,2,87,51
4/19/2022 19:51,2,24,15
4/19/2022 19:51,2,21,15
4/19/2022 19:55,2,20,18
4/19/2022 20:03,2,31,11
4/19/2022 20:04,2,31,12
4/19/2022 20:06,2,26,9
4/19/2022 20:08,2,21,16
4/19/2022 20:10,2,18,14
4/19/2022 20:10,2,20,6
4/19/2022 20:10,2,26,18
4/19/2022 20:12,2,23,15
4/19/2022 20:12,2,19,12
4/19/2022 20:13,2,17,17
4/19/2022 20:13,2,21,15
4/19/2022 20:13,2,26,17
4/19/2022 20:17,2,19,17
4/19/2022 20:18,2,23,15
4/19/2022 20:18,2,27,15
4/19/2022 20:19,2,28,9
4/19/2022 20:22,2,24,11
4/19/2022 20:22,2,29,16
4/19/2022 20:23,2,26,14
4/19/2022 20:24,2,19,8
4/19/2022 20:24,2,27,14
4/19/2022 20:25,2,21,15
4/19/2022 20:28,2,26,19
4/19/2022 20:28,2,28,14
4/19/2022 20:29,2,22,16
4/19/2022 20:36,2,25,14
4/19/2022 20:38,2,19,17
4/19/2022 20:43,2,25,16
4/19/2022 20:44,2,26,15
4/19/2022 20:46,2,24,17
4/19/2022 20:46,2,28,17
4/19/2022 20:46,2,29,18
4/19/2022 20:46,2,24,16
4/19/2022 20:49,2,26,17
4/19/2022 20:52,2,23,17
4/19/2022 20:55,2,28,17
4/19/2022 20:56,128,243,118
4/19/2022 20:56,2,22,13
4/19/2022 20:58,2,23,14
4/19/2022 21:02,2,19,20
4/19/2022 21:05,2,67,47
4/19/2022 21:10,2,27,16
4/19/2022 21:11,2,23,19
4/19/2022 21:12,2,28,15
4/19/2022 21:12,2,28,14
4/19/2022 21:22,2,28,16
4/19/2022 21:30,2,23,14
4/19/2022 21:35,2,29,14
4/19/2022 21:35,2,26,19
4/19/2022 21:40,2,26,13
4/19/2022 21:43,2,24,18
4/19/2022 21:46,2,21,14
4/19/2022 21:54,2,23,13
4/19/2022 21:55,2,31,13
4/19/2022 21:56,2,24,18
4/19/2022 21:57,2,16,16
4/19/2022 22:00,2,26,18
4/19/2022 22:00,2,22,16
4/19/2022 22:01,2,28,14
4/19/2022 22:07,2,31,16
4/19/2022 22:16,2,19,16
4/19/2022 22:18,2,23,14
4/19/2022 22:18,2,22,15
4/19/2022 22:23,2,31,16
4/19/2022 22:23,2,25,11
4/19/2022 22:33,2,23,17
4/19/2022 22:34,2,39,18
4/19/2022 22:38,2,21,18
4/19/2022 22:39,2,27,19
4/19/2022 22:41,2,22,14
4/19/2022 22:48,2,22,19
4/19/2022 22:51,2,28,17
4/19/2022 23:09,2,27,15
4/19/2022 23:20,2,28,17
4/19/2022 23:30,2,24,13
4/20/2022 0:25,2,29,20
4/20/2022 1:15,2,26,17
4/20/2022 1:21,2,21,17
4/20/2022 2:27,2,23,15
4/20/2022 4:47,2,23,17
4/20/2022 4:53,2,24,16
4/20/2022 5:49,2,22,18
4/20/2022 6:06,2,17,17
4/20/2022 6:26,2,22,16
4/20/2022 6:39,2,28,13
4/20/2022 6:51,2,20,17
4/20/2022 6:58,2,98,55
4/20/2022 7:00,2,19,13
4/20/2022 7:02,2,27,16
4/20/2022 7:03,2,23,15
4/20/2022 7:06,2,25,13
4/20/2022 7:09,2,20,19
4/20/2022 7:10,2,23,19
4/20/2022 7:16,2,24,8
4/20/2022 7:17,2,21,14
4/20/2022 7:22,2,26,13
4/20/2022 7:22,2,26,13
4/20/2022 7:24,2,33,16
4/20/2022 7:24,2,24,17
4/20/2022 7:26,2,25,14
4/20/2022 7:26,2,27,14
4/20/2022 7:34,2,27,17
4/20/2022 7:36,2,27,19
4/20/2022 7:38,2,23,14
4/20/2022 7:38,2,26,19
4/20/2022 7:39,2,25,16
4/20/2022 7:39,2,19,17
4/20/2022 7:40,2,47,29
4/20/2022 7:41,2,19,38
4/20/2022 7:41,2,20,19
4/20/2022 7:42,2,24,20
4/20/2022 7:43,2,26,12
4/20/2022 7:43,2,20,20
4/20/2022 7:46,2,25,32
4/20/2022 7:46,2,23,17
4/20/2022 7:47,2,30,13
4/20/2022 7:47,2,22,16
4/20/2022 7:53,2,23,16
4/20/2022 7:54,2,21,11
4/20/2022 7:54,2,25,14
4/20/2022 7:54,2,29,23
4/20/2022 7:55,2,23,12
4/20/2022 8:00,2,22,16
4/20/2022 8:03,2,29,17
4/20/2022 8:04,2,24,15
4/20/2022 8:05,2,24,16
4/20/2022 8:06,2,20,20
4/20/2022 8:07,2,26,19
4/20/2022 8:07,2,22,17
4/20/2022 8:09,2,25,15
4/20/2022 8:11,2,26,16
4/20/2022 8:12,2,29,17
4/20/2022 8:14,2,19,16
4/20/2022 8:14,2,23,16
4/20/2022 8:15,2,25,16
4/20/2022 8:15,2,24,44
4/20/2022 8:17,2,23,16
4/20/2022 8:17,2,19,46
4/20/2022 8:17,2,18,17
4/20/2022 8:18,2,26,16
4/20/2022 8:18,2,27,12
4/20/2022 8:19,2,23,18
4/20/2022 8:20,2,23,18
4/20/2022 8:21,2,30,16
4/20/2022 8:21,2,24,15
4/20/2022 8:23,2,24,12
4/20/2022 8:27,2,21,5
4/20/2022 8:30,2,24,11
4/20/2022 8:31,2,26,18
4/20/2022 8:34,2,22,16
4/20/2022 8:34,2,21,13
4/20/2022 8:35,2,18,15
4/20/2022 8:38,2,22,14
4/20/2022 8:39,128,22,1
4/20/2022 8:39,2,19,20
4/20/2022 8:42,2,21,13
4/20/2022 8:44,2,22,15
4/20/2022 8:45,2,30,18
4/20/2022 8:45,2,23,17
4/20/2022 8:46,2,25,16
