DateTime,AdviceCode,Speed,Length,StopTime,RoadTemperature,OCCFactor,Gap,Headway
2022-04-19 18:01:07,2,2,2,0,32,1,0,0
2022-04-19 18:01:10,2,18,16,0,32,1,3,79
2022-04-19 18:02:19,2,28,19,0,32,1,69,2834
2022-04-19 18:04:14,2,23,19,0,32,1,115,3879
2022-04-19 18:04:28,2,29,37,0,32,2,14,595
2022-04-19 18:06:20,2,6,4,0,32,1,112,986
2022-04-19 18:08:19,128,0,0,0,32,0,119,0
2022-04-19 18:10:11,2,31,17,0,32,1,112,5092
2022-04-19 18:12:17,2,28,24,0,32,1,126,5174
2022-04-19 18:13:28,2,32,21,0,32,1,71,3332
2022-04-19 18:15:05,2,34,17,0,32,1,97,4837
2022-04-19 18:16:15,2,22,23,0,32,2,70,2259
2022-04-19 18:18:02,2,23,21,0,32,1,107,3609
2022-04-19 18:18:16,2,22,21,0,32,1,14,452
2022-04-19 18:19:49,2,32,21,0,32,1,93,4365
2022-04-19 18:20:31,2,29,21,0,32,1,42,1786
2022-04-19 18:20:41,2,2,1,0,32,1,10,29
2022-04-19 18:21:52,2,33,19,0,32,1,71,3436
2022-04-19 18:23:12,2,24,12,0,32,1,80,2816
2022-04-19 18:23:25,2,34,22,0,32,1,13,648
2022-04-19 18:23:52,2,23,18,0,32,1,27,911
2022-04-19 18:23:58,2,28,21,0,32,1,6,246
2022-04-19 18:24:05,2,27,20,0,32,1,7,277
2022-04-19 18:25:52,2,41,14,0,32,1,107,6434
2022-04-19 18:31:37,2,26,18,0,32,1,345,13156
2022-04-19 18:33:44,2,22,25,0,32,2,127,4098
2022-04-19 18:34:31,2,33,18,0,32,1,47,2275
2022-04-19 18:36:11,2,25,17,0,32,1,100,3667
2022-04-19 18:38:32,2,29,23,0,32,1,141,5997
2022-04-19 18:38:41,2,34,15,0,32,1,9,449
2022-04-19 18:43:39,2,3,3,0,32,1,298,1311
2022-04-19 18:49:39,2,3,4,0,32,2,360,1584
2022-04-19 18:51:24,2,26,24,0,32,1,105,4004
2022-04-19 18:51:29,2,25,22,0,32,1,5,183
2022-04-19 18:52:54,2,23,23,0,32,1,85,2867
2022-04-19 18:54:15,2,30,18,0,32,1,81,3564
2022-04-19 18:57:16,2,28,20,0,32,1,181,7433
2022-04-19 18:58:13,2,3,2,0,32,1,57,251
2022-04-19 19:01:40,2,30,24,0,32,1,207,9108
