DateTime,AdviceCode,Speed,Length,StopTime,RoadTemperature,OCCFactor,Gap,Headway
2022-08-16 13:00:25,2,30,18,0,32,1,0,0
2022-08-16 13:03:03,2,36,17,0,32,1,158,8342
2022-08-16 13:05:46,2,38,16,0,32,1,163,9085
2022-08-16 13:07:15,2,33,14,0,32,1,89,4308
2022-08-16 13:08:13,2,33,12,0,32,1,58,2807
2022-08-16 13:10:21,2,35,18,0,32,1,128,6571
2022-08-16 13:12:51,2,48,29,0,32,1,150,10560
2022-08-16 13:15:00,2,33,16,0,32,1,129,6244
2022-08-16 13:17:59,2,36,10,0,32,0,179,9451
2022-08-16 13:19:31,2,37,14,0,32,1,92,4993
2022-08-16 13:24:37,2,16,18,0,32,2,306,7181
2022-08-16 13:24:55,2,34,19,0,32,1,18,898
2022-08-16 13:36:02,2,30,24,0,32,1,667,29348
2022-08-16 13:39:06,2,34,23,0,32,1,184,9175
2022-08-16 13:42:43,128,117,127,0,32,2,217,37237
2022-08-16 13:42:54,2,75,57,0,32,1,11,1210
2022-08-16 13:43:22,2,24,18,0,32,1,28,986
2022-08-16 13:44:05,2,37,19,0,32,1,43,2333
2022-08-16 13:46:17,2,26,6,0,32,0,132,5034
2022-08-16 13:50:18,2,36,11,0,32,0,241,12725
2022-08-16 13:50:31,2,35,18,0,32,1,13,667
2022-08-16 13:58:33,2,34,22,0,32,1,482,24036
2022-08-16 14:05:57,2,34,12,0,32,1,444,22141
2022-08-16 14:10:05,2,24,19,0,32,1,248,8730
2022-08-16 14:11:10,2,34,29,0,32,1,65,3241
2022-08-16 14:13:21,2,52,38,0,32,1,131,9991
2022-08-16 14:16:02,2,33,19,0,32,1,161,7792
2022-08-16 14:17:15,2,35,20,0,32,1,73,3747
2022-08-16 14:18:06,2,17,17,0,32,1,51,1272
2022-08-16 14:18:55,2,34,15,0,32,1,49,2443
2022-08-16 14:21:06,2,35,16,0,32,1,131,6725
2022-08-16 14:29:42,2,41,12,0,32,0,516,31029
2022-08-16 14:30:12,2,32,16,0,32,1,30,1408
2022-08-16 14:32:52,2,30,19,0,32,1,160,7040
2022-08-16 14:36:13,2,35,21,0,32,1,201,10318
2022-08-16 14:36:21,2,36,14,0,32,1,8,422
2022-08-16 14:37:47,2,35,12,0,32,1,86,4415
2022-08-16 14:38:10,2,27,20,0,32,1,23,911
2022-08-16 14:40:01,2,34,15,0,32,1,111,5535
2022-08-16 14:41:16,2,23,15,0,32,1,75,2530
2022-08-16 14:42:24,2,27,22,0,32,1,68,2693
2022-08-16 14:43:25,2,29,21,0,32,1,61,2595
2022-08-16 14:44:37,2,13,19,0,32,2,72,1373
