DateTime,AdviceCode,Speed,Length,StopTime,RoadTemperature,OCCFactor,Gap,Headway
2022-09-27 13:00:00,2,34,18,0,32,1,0,0
2022-09-27 13:04:42,2,28,14,0,32,1,282,11581
2022-09-27 13:06:58,2,33,13,0,32,1,136,6582
2022-09-27 13:07:30,2,34,20,0,32,1,32,1596
2022-09-27 13:08:42,2,31,16,0,32,1,72,3274
2022-09-27 13:09:08,2,23,14,0,32,1,26,877
2022-09-27 13:09:09,2,24,16,0,32,1,1,35
2022-09-27 13:09:11,2,21,17,0,32,1,2,62
2022-09-27 13:09:14,2,20,19,0,32,1,3,88
2022-09-27 13:09:38,2,35,15,0,32,1,24,1232
2022-09-27 13:10:43,2,24,19,0,32,1,65,2288
2022-09-27 13:12:31,2,25,15,0,32,1,108,3960
2022-09-27 13:13:45,2,24,12,0,32,1,74,2605
2022-09-27 13:14:51,2,27,29,0,32,2,66,2614
2022-09-27 13:15:51,2,24,13,0,32,1,60,2112
2022-09-27 13:19:05,2,24,19,0,32,1,194,6829
2022-09-27 13:22:27,2,33,38,0,32,2,202,9777
2022-09-27 13:22:56,2,27,14,0,32,1,29,1148
2022-09-27 13:28:57,128,255,72,0,32,0,361,135014
2022-09-27 13:29:18,2,28,13,0,32,1,21,862
2022-09-27 13:35:36,2,28,12,0,32,1,378,15523
2022-09-27 13:42:44,2,30,14,0,32,1,428,18832
2022-09-27 13:43:44,2,36,13,0,32,1,60,3168
2022-09-27 13:45:10,2,35,16,0,32,1,86,4415
2022-09-27 13:46:21,2,31,17,0,32,1,71,3228
2022-09-27 13:47:03,2,20,11,0,32,1,42,1232
2022-09-27 13:48:08,2,30,18,0,32,1,65,2860
2022-09-27 13:50:30,2,29,16,0,32,1,142,6040
2022-09-27 13:51:47,2,22,15,0,32,1,77,2485
2022-09-27 13:51:52,2,23,17,0,32,1,5,169
2022-09-27 13:53:15,2,28,17,0,32,1,83,3409
2022-09-27 13:53:47,2,29,12,0,32,1,32,1361
2022-09-27 13:54:13,2,37,15,0,32,1,26,1411
2022-09-27 13:56:15,2,26,17,0,32,1,122,4652
2022-09-27 13:59:04,2,30,15,0,32,1,169,7436
2022-09-27 14:03:08,2,25,16,0,32,1,244,8947
2022-09-27 14:03:23,2,29,16,0,32,1,15,638
2022-09-27 14:04:06,2,36,11,0,32,0,43,2270
2022-09-27 14:06:20,2,39,16,0,32,1,134,7665
2022-09-27 14:07:18,2,32,18,0,32,1,58,2722
2022-09-27 14:08:14,2,34,18,0,32,1,56,2793
2022-09-27 14:09:17,2,27,13,0,32,1,63,2495
2022-09-27 14:12:29,2,33,15,0,32,1,192,9293
2022-09-27 14:14:52,2,27,16,0,32,1,143,5663
2022-09-27 14:20:45,2,30,13,0,32,1,353,15532
2022-09-27 14:21:05,2,10,45,0,32,7,20,293
2022-09-27 14:24:05,128,21,1,0,32,0,180,5544
2022-09-27 14:25:04,2,25,18,0,32,1,59,2163
2022-09-27 14:29:41,2,33,19,0,32,1,277,13407
2022-09-27 14:30:23,128,7,1,0,32,0,42,431
2022-09-27 14:31:48,2,34,14,0,32,1,85,4239
