DateTime,AdviceCode,Speed,Length
12/13/2022 14:01,2,33,15
12/13/2022 14:06,2,19,12
12/13/2022 14:11,128,127,36
12/13/2022 14:11,2,49,15
12/13/2022 14:20,2,36,19
12/13/2022 14:21,2,41,18
12/13/2022 14:21,2,41,19
12/13/2022 14:21,2,30,16
12/13/2022 14:26,2,35,19
12/13/2022 14:27,2,36,16
12/13/2022 14:31,2,36,43
12/13/2022 14:33,2,28,20
12/13/2022 14:34,2,31,16
12/13/2022 14:36,2,32,20
12/13/2022 14:36,2,29,19
12/13/2022 14:38,2,33,17
12/13/2022 14:38,2,47,20
12/13/2022 14:40,2,29,16
12/13/2022 14:41,2,31,15
12/13/2022 14:41,2,34,20
12/13/2022 14:42,2,41,14
12/13/2022 14:42,2,13,18
12/13/2022 14:44,2,32,17
12/13/2022 14:48,2,33,17
12/13/2022 14:48,2,38,17
12/13/2022 14:48,2,36,15
12/13/2022 14:50,2,29,24
12/13/2022 14:52,2,32,17
12/13/2022 14:57,2,36,13
12/13/2022 15:01,2,25,18
12/13/2022 15:04,2,36,15
12/13/2022 15:08,2,29,16
12/13/2022 15:09,2,49,14
12/13/2022 15:10,2,38,14
12/13/2022 15:11,2,33,13
12/13/2022 15:12,2,22,5
12/13/2022 15:12,2,31,16
12/13/2022 15:13,2,38,21
12/13/2022 15:13,2,34,16
12/13/2022 15:15,2,29,14
12/13/2022 15:18,2,31,13
12/13/2022 15:20,2,31,15
12/13/2022 15:23,2,33,15
12/13/2022 15:25,2,30,18
12/13/2022 15:27,2,36,19
12/13/2022 15:28,2,46,16
12/13/2022 15:33,2,22,28
12/13/2022 15:33,2,20,19
12/13/2022 15:34,2,39,16
12/13/2022 15:35,2,28,17
12/13/2022 15:35,128,127,127
12/13/2022 15:36,2,30,15
12/13/2022 15:36,128,127,127
12/13/2022 15:39,2,25,20
12/13/2022 15:39,2,34,19
12/13/2022 15:40,2,35,18
12/13/2022 15:40,2,26,23
12/13/2022 15:43,2,28,18
12/13/2022 15:43,2,38,20
12/13/2022 15:45,2,40,14
12/13/2022 15:46,2,27,18
12/13/2022 15:48,2,32,39
12/13/2022 15:50,2,28,14
12/13/2022 15:50,2,35,12
12/13/2022 15:50,2,38,18
12/13/2022 15:52,2,26,20
12/13/2022 15:55,2,23,38
12/13/2022 15:55,2,32,16
12/13/2022 15:56,2,30,8
12/13/2022 15:58,2,34,18
12/13/2022 16:00,2,29,7
12/13/2022 16:03,2,24,16
12/13/2022 16:04,2,38,17
12/13/2022 16:04,2,39,45
12/13/2022 16:06,2,34,19
12/13/2022 16:06,2,32,17
12/13/2022 16:07,2,36,19
12/13/2022 16:08,2,27,16
12/13/2022 16:13,2,22,21
12/13/2022 16:15,2,30,10
12/13/2022 16:15,2,28,16
12/13/2022 16:16,2,26,5
12/13/2022 16:20,2,28,18
12/13/2022 16:22,2,30,17
12/13/2022 16:24,2,33,23
12/13/2022 16:25,2,34,15
12/13/2022 16:26,2,27,18
12/13/2022 16:33,2,33,17
12/13/2022 16:34,2,29,15
12/13/2022 16:35,2,33,17
12/13/2022 16:36,2,60,23
12/13/2022 16:37,2,28,16
12/13/2022 16:37,2,38,18
12/13/2022 16:38,2,32,19
12/13/2022 16:38,2,18,15
12/13/2022 16:44,2,23,17
12/13/2022 16:44,2,28,20
12/13/2022 16:45,2,29,18
12/13/2022 16:45,2,31,19
12/13/2022 16:46,2,33,19
12/13/2022 16:46,2,33,18
12/13/2022 16:47,2,43,18
12/13/2022 16:52,2,34,15
12/13/2022 16:54,2,30,19
12/13/2022 16:54,2,34,17
12/13/2022 16:54,2,35,19
12/13/2022 16:54,2,36,27
12/13/2022 16:55,2,33,21
12/13/2022 16:55,2,37,16
12/13/2022 16:55,2,35,19
12/13/2022 16:56,2,29,19
12/13/2022 16:57,2,23,15
12/13/2022 16:57,2,32,14
12/13/2022 16:58,2,31,34
12/13/2022 16:58,2,20,27
12/13/2022 17:01,2,39,16
12/13/2022 17:03,2,42,18
12/13/2022 17:04,2,24,15
12/13/2022 17:04,2,39,17
12/13/2022 17:05,2,33,47
12/13/2022 17:08,2,43,21
12/13/2022 17:14,2,36,19
12/13/2022 17:15,2,33,19
12/13/2022 17:17,2,38,27
12/13/2022 17:17,2,33,16
12/13/2022 17:21,2,21,17
12/13/2022 17:22,2,27,16
12/13/2022 17:24,2,27,21
12/13/2022 17:24,2,51,18
12/13/2022 17:25,2,40,18
12/13/2022 17:27,2,39,14
12/13/2022 17:27,2,36,13
12/13/2022 17:27,2,30,18
12/13/2022 17:29,2,36,15
