DateTime,AdviceCode,Speed,Length
4/19/2022 18:06,2,26,10
4/19/2022 18:10,2,35,18
4/19/2022 18:10,2,31,18
4/19/2022 18:11,2,28,16
4/19/2022 18:14,2,39,19
4/19/2022 18:16,2,27,19
4/19/2022 18:16,2,39,20
4/19/2022 18:22,2,23,14
4/19/2022 18:24,2,29,16
4/19/2022 18:27,2,48,23
4/19/2022 18:29,2,28,13
4/19/2022 18:34,2,24,16
4/19/2022 18:34,2,30,5
4/19/2022 18:40,2,49,6
4/19/2022 18:41,128,127,105
4/19/2022 18:50,2,30,18
4/19/2022 18:54,2,54,42
4/19/2022 19:04,128,6,3
4/19/2022 19:09,2,30,13
4/19/2022 19:09,2,27,19
4/19/2022 19:09,2,23,14
4/19/2022 19:10,2,26,15
4/19/2022 19:10,2,31,15
4/19/2022 19:11,2,28,15
4/19/2022 19:12,2,27,18
4/19/2022 19:12,2,27,12
4/19/2022 19:13,2,25,12
4/19/2022 19:13,2,24,18
4/19/2022 19:15,2,24,17
4/19/2022 19:16,2,25,20
4/19/2022 19:17,2,29,18
4/19/2022 19:17,2,24,18
4/19/2022 19:31,2,25,8
4/19/2022 19:33,2,19,19
4/19/2022 19:34,2,24,15
4/19/2022 19:39,2,32,16
4/19/2022 19:42,2,27,17
4/19/2022 19:48,2,32,18
4/19/2022 19:50,2,27,12
4/19/2022 19:51,2,46,18
4/19/2022 19:53,2,22,11
4/19/2022 19:58,2,37,19
4/19/2022 20:30,2,16,18
4/19/2022 20:30,2,40,21
4/19/2022 20:47,2,27,13
4/19/2022 20:57,2,28,13
4/19/2022 21:13,2,29,14
4/19/2022 21:21,2,28,19
4/19/2022 21:53,2,36,31
4/19/2022 22:08,2,38,19
4/19/2022 22:10,2,37,15
4/19/2022 22:14,2,29,13
4/19/2022 23:29,2,30,13
4/20/2022 0:56,2,32,17
4/20/2022 5:01,2,20,15
4/20/2022 5:23,2,30,9
4/20/2022 5:29,2,24,15
4/20/2022 6:21,2,30,15
4/20/2022 6:21,2,26,19
4/20/2022 6:29,2,26,18
4/20/2022 6:31,2,43,13
4/20/2022 6:36,2,33,16
4/20/2022 6:41,2,50,30
4/20/2022 6:43,2,35,16
4/20/2022 6:45,2,37,6
4/20/2022 6:46,2,71,32
4/20/2022 6:46,2,31,17
4/20/2022 6:52,2,45,20
4/20/2022 6:54,2,32,10
4/20/2022 6:57,2,16,33
4/20/2022 6:59,2,33,12
4/20/2022 6:59,2,24,20
4/20/2022 7:02,2,30,17
4/20/2022 7:03,2,26,12
4/20/2022 7:05,2,37,18
4/20/2022 7:11,2,30,19
4/20/2022 7:13,128,127,62
4/20/2022 7:20,2,29,19
4/20/2022 7:23,2,29,20
4/20/2022 7:23,2,54,18
4/20/2022 7:29,2,38,19
4/20/2022 7:30,2,32,12
4/20/2022 7:31,2,40,13
4/20/2022 7:37,2,34,19
4/20/2022 7:37,2,31,19
4/20/2022 7:41,2,33,18
4/20/2022 7:41,2,26,16
4/20/2022 7:44,2,68,23
4/20/2022 7:46,2,28,13
4/20/2022 7:48,2,35,16
4/20/2022 7:48,2,26,43
4/20/2022 7:51,2,24,15
4/20/2022 7:52,2,66,38
4/20/2022 7:54,2,24,14
4/20/2022 7:56,2,37,16
4/20/2022 7:56,2,31,14
4/20/2022 8:00,2,37,20
4/20/2022 8:00,2,31,14
4/20/2022 8:03,2,33,13
4/20/2022 8:07,2,26,19
4/20/2022 8:07,2,24,15
4/20/2022 8:08,2,30,14
4/20/2022 8:09,2,34,16
4/20/2022 8:10,2,21,19
4/20/2022 8:11,2,26,16
4/20/2022 8:12,2,18,16
4/20/2022 8:17,2,28,15
4/20/2022 8:18,2,31,19
4/20/2022 8:26,2,30,14
4/20/2022 8:28,2,26,14
4/20/2022 8:29,2,24,19
4/20/2022 8:34,2,21,16
4/20/2022 8:36,2,25,10
4/20/2022 8:37,2,32,19
4/20/2022 8:38,2,35,18
4/20/2022 8:39,2,16,11
4/20/2022 8:41,2,26,20
4/20/2022 8:41,2,48,30
4/20/2022 8:44,2,50,24
4/20/2022 8:46,2,19,21
4/20/2022 8:47,2,29,16
4/20/2022 8:50,2,29,17
4/20/2022 8:51,2,19,16
4/20/2022 8:51,2,32,18
4/20/2022 8:52,2,21,15
4/20/2022 8:54,2,34,19
4/20/2022 8:55,2,34,19
4/20/2022 8:56,2,31,16
4/20/2022 8:56,2,33,15
4/20/2022 8:56,2,39,15
4/20/2022 8:57,2,33,15
4/20/2022 8:58,2,21,18
4/20/2022 8:59,2,28,16
4/20/2022 8:59,2,22,20
4/20/2022 9:00,2,26,17
4/20/2022 9:00,2,32,16
4/20/2022 9:05,2,26,4
4/20/2022 9:06,2,32,15
4/20/2022 9:07,2,27,19
4/20/2022 9:07,2,24,17
4/20/2022 9:09,2,18,14
4/20/2022 9:11,2,39,18
4/20/2022 9:14,2,27,12
4/20/2022 9:14,2,42,12
4/20/2022 9:17,2,31,17
4/20/2022 9:20,2,30,18
4/20/2022 9:28,2,25,13
4/20/2022 9:28,2,19,16
4/20/2022 9:31,2,27,20
4/20/2022 9:31,2,28,18
4/20/2022 9:40,2,34,17
4/20/2022 9:45,2,25,20
4/20/2022 9:45,2,26,18
4/20/2022 9:46,2,28,17
4/20/2022 9:47,2,29,29
4/20/2022 9:52,2,29,16
4/20/2022 9:52,128,28,4
4/20/2022 9:59,2,29,16
4/20/2022 10:08,2,22,15
4/20/2022 10:10,2,25,17
4/20/2022 10:15,2,38,24
4/20/2022 10:20,128,127,127
4/20/2022 10:20,2,27,33
4/20/2022 10:22,2,18,23
4/20/2022 10:24,2,68,51
4/20/2022 10:25,128,100,57
4/20/2022 10:28,2,23,15
4/20/2022 10:35,2,20,11
4/20/2022 10:35,2,46,30
4/20/2022 10:35,2,18,13
4/20/2022 10:36,2,25,19
4/20/2022 10:36,128,32,3
4/20/2022 10:37,2,25,17
4/20/2022 10:41,2,29,21
4/20/2022 10:42,2,18,33
4/20/2022 10:49,2,35,19
4/20/2022 10:50,2,28,13
4/20/2022 10:55,2,27,17
4/20/2022 10:56,2,27,13
4/20/2022 10:57,2,31,18
4/20/2022 11:02,2,30,18
4/20/2022 11:03,2,34,19
4/20/2022 11:03,2,26,18
4/20/2022 11:03,2,21,9
4/20/2022 11:05,2,18,18
4/20/2022 11:06,2,60,28
4/20/2022 11:08,2,37,16
4/20/2022 11:09,2,40,19
4/20/2022 11:09,2,37,16
4/20/2022 11:10,2,53,22
4/20/2022 11:12,2,36,16
4/20/2022 11:13,2,28,15
4/20/2022 11:14,2,27,15
4/20/2022 11:18,2,27,16
4/20/2022 11:19,2,36,15
4/20/2022 11:20,2,31,14
4/20/2022 11:26,2,31,18
4/20/2022 11:26,2,34,15
4/20/2022 11:29,2,32,13
4/20/2022 11:31,2,31,17
4/20/2022 11:31,2,28,8
4/20/2022 11:34,2,26,16
4/20/2022 11:35,2,27,14
4/20/2022 11:35,2,30,14
4/20/2022 11:37,2,28,36
4/20/2022 11:38,2,19,12
4/20/2022 11:40,2,24,19
4/20/2022 11:41,2,29,14
4/20/2022 11:41,2,25,19
4/20/2022 11:42,2,28,16
4/20/2022 11:46,2,32,23
4/20/2022 11:48,2,31,16
4/20/2022 11:55,2,26,18
4/20/2022 11:55,2,26,10
4/20/2022 11:56,2,34,15
4/20/2022 11:57,2,35,18
4/20/2022 11:58,2,30,18
4/20/2022 11:59,2,32,17
4/20/2022 11:59,2,31,15
4/20/2022 12:00,2,19,11
4/20/2022 12:03,2,37,17
4/20/2022 12:08,2,27,19
4/20/2022 12:09,2,30,18
4/20/2022 12:12,2,34,16
4/20/2022 12:12,2,29,17
4/20/2022 12:12,2,33,13
4/20/2022 12:14,2,30,16
4/20/2022 12:14,2,33,19
4/20/2022 12:15,2,32,12
4/20/2022 12:19,2,23,16
4/20/2022 12:20,2,21,16
4/20/2022 12:21,2,26,15
4/20/2022 12:23,2,21,17
4/20/2022 12:23,2,31,15
4/20/2022 12:23,2,31,18
4/20/2022 12:24,2,27,16
4/20/2022 12:24,2,29,22
4/20/2022 12:26,2,32,16
4/20/2022 12:27,2,20,19
4/20/2022 12:28,2,25,12
4/20/2022 12:31,2,24,35
4/20/2022 12:32,2,24,14
4/20/2022 12:32,2,24,16
4/20/2022 12:32,128,23,2
4/20/2022 12:33,2,23,21
4/20/2022 12:33,2,26,20
4/20/2022 12:35,2,24,5
4/20/2022 12:37,2,32,16
4/20/2022 12:41,2,34,19
4/20/2022 12:41,2,28,11
4/20/2022 12:42,2,25,16
4/20/2022 12:43,2,27,14
4/20/2022 12:44,2,29,16
4/20/2022 12:46,2,26,16
4/20/2022 12:46,2,33,14
4/20/2022 12:47,2,28,12
4/20/2022 12:48,2,29,16
4/20/2022 12:51,2,32,14
4/20/2022 12:52,2,31,16
4/20/2022 12:54,2,35,13
4/20/2022 12:55,2,27,18
4/20/2022 12:55,2,37,16
4/20/2022 12:58,2,26,17
4/20/2022 13:04,2,35,14
4/20/2022 13:09,2,29,17
4/20/2022 13:14,2,31,18
4/20/2022 13:17,2,31,12
4/20/2022 13:18,2,37,18
4/20/2022 13:20,2,62,42
4/20/2022 13:20,2,38,17
4/20/2022 13:24,2,30,15
4/20/2022 13:27,2,26,14
4/20/2022 13:27,2,26,18
4/20/2022 13:28,2,28,20
4/20/2022 13:29,2,26,17
4/20/2022 13:30,2,34,17
4/20/2022 13:30,2,30,16
4/20/2022 13:31,2,34,14
4/20/2022 13:31,2,37,18
4/20/2022 13:32,2,33,15
4/20/2022 13:33,2,33,15
4/20/2022 13:34,2,29,17
4/20/2022 13:36,2,28,15
4/20/2022 13:36,2,21,19
4/20/2022 13:37,2,34,12
4/20/2022 13:37,2,32,15
4/20/2022 13:39,2,29,5
4/20/2022 13:42,2,29,12
4/20/2022 13:45,2,23,10
4/20/2022 13:46,2,35,12
4/20/2022 13:46,2,35,19
4/20/2022 13:46,2,56,35
4/20/2022 13:47,2,28,16
4/20/2022 13:50,2,32,18
4/20/2022 13:51,2,25,19
4/20/2022 13:53,2,28,20
4/20/2022 13:54,2,26,17
4/20/2022 13:55,2,34,15
4/20/2022 13:55,2,37,15
4/20/2022 13:55,2,27,18
4/20/2022 13:55,2,29,14
4/20/2022 13:57,2,25,17
4/20/2022 13:57,2,38,19
4/20/2022 13:57,2,31,18
4/20/2022 13:57,2,32,22
4/20/2022 13:58,2,39,18
4/20/2022 14:02,2,27,9
4/20/2022 14:06,2,24,17
4/20/2022 14:08,2,31,17
4/20/2022 14:08,2,28,17
4/20/2022 14:08,2,26,15
4/20/2022 14:09,2,29,15
4/20/2022 14:09,2,34,16
4/20/2022 14:09,2,31,14
4/20/2022 14:09,2,29,14
