DateTime,AdviceCode,Speed,Length,StopTime,RoadTemperature,OCCFactor,Gap,Headway
2022-09-27 13:01:08,2,25,19,0,32,1,0,0
2022-09-27 13:03:02,2,30,9,0,32,0,114,5016
2022-09-27 13:03:10,2,32,35,0,32,2,8,375
2022-09-27 13:05:44,2,33,19,0,32,1,154,7454
2022-09-27 13:07:59,2,33,16,0,32,1,135,6534
2022-09-27 13:09:49,2,27,15,0,32,1,110,4356
2022-09-27 13:10:15,2,38,28,0,32,1,26,1449
2022-09-27 13:10:39,2,31,18,0,32,1,24,1091
2022-09-27 13:10:46,2,34,19,0,32,1,7,349
2022-09-27 13:11:11,2,39,23,0,32,1,25,1430
2022-09-27 13:11:15,2,24,11,0,32,1,4,141
2022-09-27 13:13:43,2,26,13,0,32,1,148,5644
2022-09-27 13:14:36,2,30,22,0,32,1,53,2332
2022-09-27 13:16:24,128,118,80,0,32,1,108,18691
2022-09-27 13:17:05,2,30,16,0,32,1,41,1804
2022-09-27 13:17:38,2,45,17,0,32,1,33,2178
2022-09-27 13:21:12,2,31,18,0,32,1,214,9730
2022-09-27 13:21:22,2,34,21,0,32,1,10,499
2022-09-27 13:23:07,2,27,16,0,32,1,105,4158
2022-09-27 13:30:27,2,27,18,0,32,1,440,17424
2022-09-27 13:32:21,2,32,23,0,32,1,114,5350
2022-09-27 13:36:55,2,25,18,0,32,1,274,10047
2022-09-27 13:46:24,2,30,16,0,32,1,569,25036
2022-09-27 13:46:42,2,28,35,0,32,2,18,739
2022-09-27 13:47:40,2,22,18,0,32,1,58,1871
2022-09-27 13:49:12,2,31,23,0,32,1,92,4183
2022-09-27 13:50:15,2,28,19,0,32,1,63,2587
2022-09-27 13:52:01,2,37,15,0,32,1,106,5752
2022-09-27 13:52:14,2,35,20,0,32,1,13,667
2022-09-27 13:53:00,2,33,18,0,32,1,46,2226
2022-09-27 13:54:19,2,33,12,0,32,1,79,3824
2022-09-27 13:54:54,2,28,19,0,32,1,35,1437
2022-09-27 13:55:08,2,36,17,0,32,1,14,739
2022-09-27 13:57:22,2,31,16,0,32,1,134,6093
2022-09-27 13:57:40,2,29,21,0,32,1,18,766
2022-09-27 13:58:06,2,31,22,0,32,1,26,1182
2022-09-27 13:59:51,2,30,18,0,32,1,105,4620
2022-09-27 14:00:04,2,34,19,0,32,1,13,648
2022-09-27 14:02:34,2,29,20,0,32,1,150,6380
2022-09-27 14:03:18,2,31,12,0,32,1,44,2001
2022-09-27 14:05:36,2,23,22,0,32,1,138,4655
2022-09-27 14:05:39,2,30,24,0,32,1,3,132
2022-09-27 14:08:15,2,35,21,0,32,1,156,8008
2022-09-27 14:09:15,2,40,28,0,32,1,60,3520
2022-09-27 14:15:15,2,18,21,0,32,2,360,9504
2022-09-27 14:16:03,2,27,19,0,32,1,48,1901
2022-09-27 14:16:04,2,27,15,0,32,1,1,40
2022-09-27 14:20:49,2,32,22,0,32,1,285,13376
2022-09-27 14:24:30,128,161,97,0,32,1,221,52185
2022-09-27 14:25:55,2,53,20,0,32,1,85,6607
2022-09-27 14:26:23,2,23,19,0,32,1,28,945
2022-09-27 14:31:10,2,26,20,0,32,1,287,10944
2022-09-27 14:32:50,2,37,17,0,32,1,100,5427
2022-09-27 14:33:32,2,25,43,0,32,3,42,1540
2022-09-27 14:36:21,2,23,19,0,32,1,169,5701
2022-09-27 14:36:32,2,34,47,0,32,2,11,549
2022-09-27 14:36:56,2,26,19,0,32,1,24,915
2022-09-27 14:37:53,2,29,6,0,32,0,57,2424
2022-09-27 14:39:08,2,33,19,0,32,1,75,3630
2022-09-27 14:40:05,2,31,16,0,32,1,57,2592
2022-09-27 14:40:08,2,30,15,0,32,1,3,132
2022-09-27 14:41:14,2,39,37,0,32,1,66,3775
2022-09-27 14:41:27,2,32,11,0,32,1,13,610
2022-09-27 14:41:32,128,33,1,0,32,0,5,242
2022-09-27 14:42:30,2,24,20,0,32,1,58,2042
2022-09-27 14:43:24,2,23,21,0,32,1,54,1822
2022-09-27 14:44:59,2,27,18,0,32,1,95,3762
2022-09-27 14:49:29,2,29,20,0,32,1,270,11484
2022-09-27 14:51:04,2,24,16,0,32,1,95,3344
2022-09-27 14:52:27,2,32,24,0,32,1,83,3895
2022-09-27 14:59:59,2,20,17,0,32,1,452,13259
